id,Outlying_polar,Skewed_polar,Clumpy_polar,Sparse_polar,Striated_polar,Convex_polar,Skinny_polar,Stringy_polar,Monotonic_polar,Outlying_contour,Skewed_contour,Clumpy_contour,Sparse_contour,Striated_contour,Convex_contour,Skinny_contour,Stringy_contour,Monotonic_contour,No_of_max_ponits,No_of_min_points,diameter,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,compactness,NF,Perimeter_ratio_diameter,Perimeter_ratio_length,Perimeter_ratio_lw,No_of_Convex_points,perimeter_convexity,area_convexity,area_ratio_convexity,equivalent_diameter,cx,cy,eccentriciry,contrast,correlation_texture,inverse_difference_moments,entropy,Mean_R_val,Mean_G_val,Mean_B_val,Std_R_val,Std_G_val,Std_B_val,correlation,Shape_label,Species
1,0,0.464763438,0.008747106,0.014514434,0.979057592,0.000150813,0.572927337,1,0.063767575,0,0.475150074,0.019406547,0.014097664,0.968911917,0.000310422,0.73364428,1,0.018970351,1,2,1086.393115,641152,3330.189153,1081,859,0.794634598,0.690465755,0.726495723,17.29723964,1.264718411,3.065362903,3.876820899,1.716592347,68,0.890421944,0.014397522,0.985806825,903.5154014,820.2633287,582.0648023,0.707286169,69.99989114,0.99622643,0.372580075,9.612084455,150.813211,170.632615,173.2549019,115.3226551,88.4786055,90.24106941,-0.13956054,Diamond,Salix sinerea
2,0,0.485738463,0.017315129,0.014523045,0.958333333,0.000103253,0.794926864,0.984293483,0.112550952,0,0.495215163,0.012792128,0.014264454,0.969387755,0.000266537,0.525631828,1,0.032489786,1,2,1121.302814,615844.5,3377.436846,1121,822,0.733273863,0.668334126,0.678432208,18.52266221,1.364115345,3.012064899,4.108803949,1.738258799,75,0.866288004,0.018313064,0.982016273,885.5041337,794.1033968,549.1504574,0.689795589,80.61300537,0.995221698,0.377983507,9.578234833,118.239815,181.2432344,159.7973519,118.638008,81.71060548,96.70698842,-0.182890442,Diamond,Salix sinerea
3,0,0.50124527,0.012500354,0.014265029,0.931707317,0.000630407,0.750695058,0.970590148,0.237210134,0,0.497752228,0.015646075,0.014386583,0.961352657,0.000808693,0.674050951,0.985437124,0.000299472,2,1,982.6031752,530362,3098.375883,981,784,0.799184506,0.689584243,0.694247072,18.10071821,1.253320377,3.153232109,3.952010055,1.755453758,72,0.863868518,0.012507495,0.98764701,821.752926,861.184614,544.9285938,0.674518544,63.39737886,0.996215986,0.403826347,8.962931207,106.5327015,189.9617357,151.1134423,120.1376562,82.02515397,104.4794132,0.017792553,Diamond,Salix sinerea
4,0,0.520186067,0.027914033,0.014528065,0.950738916,0.000817729,0.792628866,1,0.18738085,0,0.503766663,0.013141269,0.014269384,0.961352657,0.000827532,0.761975429,0.985437124,6.90E-06,1,2,1072.156705,688295,3465.027685,1065,903,0.847887324,0.715710282,0.720395616,17.44370779,1.18732747,3.231829516,3.837239961,1.760684799,81,0.869929441,0.009885296,0.990211466,936.1433717,853.6564551,552.9908863,0.580303995,68.0209738,0.99662063,0.405913781,9.189744282,92.8011148,167.6256066,155.6131306,116.2858539,92.19866108,98.64733024,0.002195928,Diamond,Salix sinerea
5,0,0.486943477,0.017389349,0.014268817,0.969072165,0.000248076,0.800155063,1,0.23591652,0,0.531886538,0.021008066,0.014527487,0.965853659,0.000330386,0.585304366,1,0.000813161,2,3,1153.697101,727966,3598.934319,1150,918,0.79826087,0.689557639,0.706273836,17.79249063,1.256750654,3.119479383,3.920407755,1.74029706,92,0.874276257,0.018706918,0.981636605,962.7435268,834.6815952,540.7552924,0.664498925,57.90571283,0.997318829,0.409547219,8.995139204,76.19614282,159.8480895,150.596426,113.6975692,95.46146817,99.38473779,-0.027970231,Diamond,Salix sinerea
6,0,0.492329654,0.014942354,0.0142721,0.974093264,0.000499618,0.482946041,1,0.22139678,0,0.512764022,0.025584025,0.01453083,0.946078431,0.00111614,0.720632328,0.985221916,0.000258387,2,1,1134.287442,693708,3448.438933,1133,893,0.788172992,0.685638718,0.733063317,17.14227178,1.270198703,3.040180828,3.861633744,1.702092267,83,0.88924109,0.011509165,0.988621788,939.8172472,828.71473,613.6393676,0.645070867,52.65996575,0.996971274,0.405498305,9.191943583,121.0941303,172.0637126,158.9766022,115.1663342,84.99546812,93.20973217,-0.015711725,Diamond,Salix sinerea
7,0,0.493086807,0.011299627,0.014551237,0.948186528,0.000667119,0.631128428,1,0.303978549,0,0.502684052,0.0122935,0.014396341,0.975369458,0.000606246,0.576893267,1,6.10E-05,1,2,1007.41749,579327,3174.365778,1008,836,0.829365079,0.68747508,0.722469798,17.39362759,1.205044845,3.150993315,3.797088251,1.721456496,76,0.877963416,0.008026555,0.992037358,858.8492567,832.5721004,545.21893,0.587185905,45.78758013,0.997587222,0.437157203,8.768992788,137.2080178,177.3789518,174.1806733,121.0022968,89.31791537,93.57867299,-0.008198703,Diamond,Salix sinerea
8,0,0.503935766,0.010029801,0.014443027,0.964646465,0.00081008,0.741828339,1,0.149872419,0,0.501804082,0.011031947,0.014798862,0.947089947,0.000881941,0.78692035,0.968087553,0.005548361,3,3,1191.466323,684676,3520.875445,1187,849,0.715248526,0.679401804,0.694054614,18.10573745,1.403376117,2.955077601,4.147085329,1.72931014,83,0.874422421,0.009413212,0.990674571,933.6790447,801.3405368,538.0394188,0.717076603,55.98162707,0.997204597,0.419172157,9.011788928,118.7203148,166.4888481,163.5666486,120.2496598,91.94474964,95.82851041,0.075896208,Diamond,Salix sinerea
9,0,0.525889217,0.007073246,0.014508592,0.948598131,0.000693119,0.618698192,1,0.120336128,0,0.550333261,0.021358082,0.014267053,0.954545455,0.000848418,0.638760384,0.986301562,0.001222622,5,6,998.528918,587397,3180.708924,995,851,0.855276382,0.693711802,0.729614966,17.22329065,1.173359481,3.185394901,3.737613306,1.723027586,77,0.879087326,0.013722406,0.98646335,864.8104352,793.1779168,562.6983446,0.588228489,50.57603078,0.997326186,0.431313714,8.869470188,126.7315339,178.6576483,166.7826804,121.3718524,88.95568583,98.38469674,0.034733711,Diamond,Salix sinerea
10,0,0.501767836,0.004308543,0.014521632,0.935960591,0.001704324,0.676617266,0.970299,0.18005754,0,0.515714221,0.012863542,0.01436705,0.966346154,0.000549745,0.566769608,0.985507474,0.000400588,2,3,1163.295749,658429.5,3556.809429,1162,868,0.746987952,0.652804933,0.654030424,19.21374014,1.340202476,3.057528089,4.097706716,1.752122872,64,0.864609912,0.01429538,0.985906098,915.6082551,772.7455752,525.2521592,0.777702897,46.27112481,0.997512197,0.425547824,8.987367967,128.5393657,171.0043868,165.4180343,116.4373428,89.32237823,94.59382363,0.020259504,Diamond,Salix sinerea
